"Pregunta","Respuesta1","Respuesta2","Respuesta3","Correcta"
"¿Cuál es la capital de Uruguay?", "Montevideo", "Salto", "Paysandú", "Montevideo"
"¿Qué río forma la frontera entre Uruguay y Argentina?", "Río de la Plata", "Río Uruguay", "Río Negro", "Río de la Plata"
"¿En qué año se fundó Montevideo?", "1726", "1805", "1811", "1726"
"¿Quién es el actual presidente de Uruguay?", "Luis Alberto Lacalle Pou", "Tabaré Vázquez", "José Mujica", "Luis Alberto Lacalle Pou"
"¿Cuál es el himno nacional de Uruguay?", "Himno Nacional de Uruguay", "Marcha de Artigas", "Marcha de los Treinta y Tres Orientales", "Himno Nacional de Uruguay"
"¿Qué deporte es el más popular en Uruguay?", "Fútbol", "Rugby", "Baloncesto", "Fútbol"
"¿Cuál es el nombre de la principal universidad pública de Uruguay?", "Universidad de la República", "Universidad de Montevideo", "Universidad Nacional del Litoral", "Universidad de la República"
"¿Qué lenguaje de programación se utiliza principalmente para el desarrollo web?", "JavaScript", "Python", "C++", "JavaScript"
"¿Qué es un algoritmo en informática?", "Conjunto de instrucciones para resolver un problema", "Un tipo de hardware", "Una red de computadoras", "Conjunto de instrucciones para resolver un problema"
"¿Qué herramienta se utiliza para el control de versiones en desarrollo de software?", "Git", "JIRA", "Slack", "Git"
"¿Cuál es la base de datos relacional más utilizada?", "MySQL", "MongoDB", "Redis", "MySQL"
"¿Qué es el 'front-end' en el desarrollo web?", "La parte visible de una aplicación web", "La parte del servidor", "El almacenamiento de datos", "La parte visible de una aplicación web"
"¿Qué significa 'API' en tecnología?", "Interfaz de Programación de Aplicaciones", "Asistente Personal Integrado", "Aplicación de Programación de Internet", "Interfaz de Programación de Aplicaciones"
"¿Qué es la inteligencia artificial?", "Simulación de procesos de inteligencia humana en máquinas", "Un tipo de software de diseño", "Un lenguaje de programación", "Simulación de procesos de inteligencia humana en máquinas"
"¿Qué es la juventud?", "El periodo de la vida entre la adolescencia y la adultez", "Una etapa de la vida infantil", "Un periodo de madurez", "El periodo de la vida entre la adolescencia y la adultez"
"¿Qué es el 'big data' en informática?", "Conjuntos de datos extremadamente grandes y complejos", "Una técnica de programación", "Un tipo de red social", "Conjuntos de datos extremadamente grandes y complejos"
"¿Cuál es el nombre del primer robot humanoide creado en Uruguay?", "Roberto", "Café", "Santiago", "Santiago"
"¿Qué es un 'framework' en desarrollo de software?", "Un conjunto de herramientas y bibliotecas para facilitar el desarrollo", "Un tipo de algoritmo", "Un sistema operativo", "Un conjunto de herramientas y bibliotecas para facilitar el desarrollo"
"¿Qué es la 'computación en la nube'?", "Uso de servicios y almacenamiento de datos a través de internet", "Un tipo de hardware", "Una técnica de programación", "Uso de servicios y almacenamiento de datos a través de internet"
"¿Qué es el 'machine learning'?", "Una técnica de inteligencia artificial que permite a las máquinas aprender", "Un lenguaje de programación", "Una herramienta de diseño gráfico", "Una técnica de inteligencia artificial que permite a las máquinas aprender"
"¿Quién es el principal referente de la informática en Uruguay?", "Carlos M. De Biasi", "Luis F. Cané", "Jorge R. Lobo", "Carlos M. De Biasi"
"¿Cuál es el nombre de la organización de jóvenes científicos en Uruguay?", "Red de Jóvenes Investigadores", "Club de Ciencias", "FuturLab", "Club de Ciencias"
